"year","tmin","tmin_mean"
1940,2.6,4.3
1941,4,4.3
1942,4.2,4.3
1943,3.2,4.3
1944,4.6,4.3
1945,4.1,4.3
1946,4.3,4.3
1947,4.3,4.3
1948,4.1,4.3
1949,5.3,4.3
1950,3.8,4.3
1951,4.4,4.3
1952,4.9,4.3
1953,5.5,4.3
1954,4.6,4.3
1955,4.9,4.3
1956,4.2,4.3
1957,4.7,4.3
1958,3.8,4.3
1959,4.7,4.3
1960,3.7,4.3
1961,4,4.3
1962,2.8,4.3
1963,2.8,4.3
1964,4.2,4.3
1965,4,4.3
1966,3.7,4.3
1967,4.2,4.3
1968,4.2,4.3
1969,3.9,4.3
1970,4.3,4.3
1971,4.4,4.3
1972,3.5,4.3
1973,5.4,4.3
1974,4.2,4.3
1975,5.2,4.3
1976,3.4,4.3
1977,4.4,4.3
1978,3.3,4.3
1979,4.2,4.3
1980,4.2,4.3
1981,4.6,4.3
1982,3.9,4.3
1983,4.5,4.3
1984,4.3,4.3
1985,4.3,4.3
1986,4.7,4.3
1987,5.5,4.3
1988,4.5,4.3
1989,3.5,4.3
1990,5.7,4.3
1991,5.6,4.3
1992,3.9,4.3
1993,4.1,4.3
1994,4.4,4.3
1995,4.4,4.3
1996,3.9,4.3
1997,4,4.3
1998,6.2,4.3
1999,5,4.3
2000,4.2,4.3
2001,5.7,4.3
2002,5.3,4.3
2003,4,4.3
2004,4.5,4.3
2005,4.9,4.3
2006,6.3,4.3
2007,5,4.3
2008,4.7,4.3
2009,4.2,4.3
2010,5.5,4.3
2011,5.6,4.3
2012,6.7,4.3
2013,5,4.3
2014,4,4.3
2015,4.7,4.3
2016,6,4.3
2017,-4.1,4.3
